level: 1 | score: 20
level: 1 | score: 20
level: 1 | score: 50
level: 1 | score: 100
level: 1 | score: 100
level: 1 | score: 14
level: 1 | score: 100
level: 2 | score: 50
level: 1 | score: 100
level: 1 | score: 100
level: 1 | score: 100
level: 1 | score: 100
level: 1 | score: 100
level: 1 | score: 100
level: 1 | score: 10
level: 1 | score: 10
level: 1 | score: 10
level: 1 | score: 10
level: 1 | score: 10
level: 1 | score: 10
level: 1 | score: 11
level: 1 | score: 12
level: 1 | score: 10
level: 1 | score: 10
level: 1 | score: 10
level: 1 | score: 10
level: 1 | score: 5
level: 1 | score: 10
level: 1 | score: 10
level: 1 | score: 10
level: 1 | score: 10
level: 1 | score: 10
level: 1 | score: 10
level: 1 | score: 10
level: 1 | score: 10
level: 1 | score: 10
level: 1 | score: 10
level: 1 | score: 10
level: 1 | score: 1
level: 1 | score: 2
level: 1 | score: 5
level: 1 | score: 10
level: 1 | score: 10
level: 1 | score: 10
level: 1 | score: 10
level: 1 | score: 10
level: 1 | score: 10
level: 1 | score: 10
level: 1 | score: 5
level: 1 | score: 1
level: 1 | score: 10
level: 1 | score: 12
level: 1 | score: 3
level: 1 | score: 3
level: 1 | score: 3
level: 1 | score: 3
level: 1 | score: 3
level: 1 | score: 3
level: 1 | score: 3
level: 1 | score: 3
level: 1 | score: 3
level: 1 | score: 3
level: 1 | score: 3
level: 1 | score: 3
level: 1 | score: 3
level: 1 | score: 3
level: 1 | score: 3
level: 1 | score: 3
level: 1 | score: 3
level: 1 | score: 3
level: 1 | score: 3
level: 1 | score: 3
level: 1 | score: 13
level: 1 | score: 3
level: 1 | score: 3
level: 1 | score: 3
